date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
1998-01-31,0.012876481227023007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-02-28,0.06929364762267087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-31,0.048763295114787386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-30,0.012789604815563793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-05-31,-0.020769019023177404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-30,0.042590205910299384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-31,-0.013517125475079994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-31,-0.14117778701382988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-30,0.06361659784516971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-31,0.08107832480078381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-30,0.05567992026243629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-31,0.06540632688901238,0.05251403450174674,0.003356815135366009,0.005362075056773552,0.05503458895745239,0.018039850165370908,0.02476523453928614,0.013618672049864111,0.03870247298183527,0.02576618468594738
1999-01-31,0.035229728584098785,-0.03706320464415003,-0.06559410595634318,0.017332363829839048,-0.010815392377534594,0.15900435426368342,-0.013233329467170152,-0.024806985857754538,0.04807757455686135,0.05143543970637432
1999-02-28,-0.03206821709700636,0.015543727664610207,-0.00859544683069613,0.01572844483509539,0.009003884145940555,-0.09917425785118572,-0.010497433196804073,-0.027556935709203145,0.0011462870165002137,-0.0062565705312188635
1999-03-31,0.041511822934204856,0.017963191699222225,0.1413987029618351,0.03247805609771803,0.02096310867906981,0.07431242032839869,-0.0011787410699941603,-0.06297144778238595,0.026345237001338173,0.0486617408571175
1999-04-30,0.037974012364992094,0.24712649254075214,0.14803244580618458,0.07017520170246816,0.15037606944722515,0.005978134147982317,-0.034869429403678764,0.09660524995361852,0.0357146683869507,0.026229442428489458
1999-05-31,-0.022866881626175783,-0.09101325905549151,-0.021583918818337877,-0.06030287481579044,-0.019606436163061347,0.0033949965298947227,-0.010409718411751978,0.011746467749414347,-0.03070856797582433,-0.04526102421820877
1999-06-30,0.055374189904704885,0.05776525594441129,0.02041795889266962,0.04336834052450622,0.06135923153452816,0.09602438823735193,0.017675045616459828,0.041137585561631385,0.043912773769810176,0.06443919652834307
1999-07-31,-0.03102019118827881,-0.011419146029797322,0.018942025724788536,-0.06107888092664682,-0.03668582435736367,-0.011578709326890313,-0.03724069047395451,0.0030597503745071197,-0.029816938593975606,-0.07450195461664066
1999-08-31,-0.005177994276644782,-0.044985782838472765,0.01093400138843581,-0.044003162601813806,0.008160853777472,0.03514217792312535,0.017119857658570714,-0.04778946042863075,-0.04500200876452831,-0.03854833357287801
1999-09-30,-0.02237025502447565,-0.03141252081228407,-0.04601770370159097,-0.05228559564985913,-0.005202279151608757,-0.004150470983321886,-0.09020117586675691,0.025316067527761055,-0.01379180604556074,-0.014518575287488455
1999-10-31,0.06407826709743647,0.023728485139985267,-0.014807858088249248,0.15536972151909811,-0.021739986337969253,0.030303188097992484,0.09134543641152915,0.005246096225879127,0.050697218992761695,0.08867605462417405
1999-11-30,0.01744992664582523,-0.014166183622430162,-0.0017342761596722545,-0.04401081262327122,-0.02222090789579445,0.09816315899080785,0.0031476283233040636,-0.03288084601109931,0.011647664232222521,0.0005504393581992062
1999-12-31,0.056260395604131874,0.11820267356526726,0.007033523085494542,-0.023957547701276893,0.08416698639518616,0.1543676377208283,-0.07259958792040055,-0.015666584512589177,0.09025060761523451,0.10729378253168576
2000-01-31,-0.04936063381220501,-0.12228283458103506,0.008073462886371896,-0.029584466518228436,-0.08179602926407381,-0.061484685464607725,0.008819931427982652,-0.01776752793350822,-0.025290169695603826,-0.12424542983612918
