path_id,asset,feature_group,model_family,lambda,last_state,current_spell_length,mean_spell_length,mean_good_spell_length,mean_bad_spell_length,switch_next_1m_rate,switch_next_3m_rate,p_bad_bad,p_bad_good,p_good_bad,p_good_good,expected_duration_bad,expected_duration_good
bd_return_downside_sharpe_vol_l1med_lam0,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0,0,2,9.333333333333334,11.75,6.916666666666667,0.10514541387024609,0.2595078299776286,0.8606060606060606,0.1393939393939394,0.0851063829787234,0.9148936170212766,7.173913043478261,11.749999999999998
bd_return_downside_sharpe_vol_l1med_lam1em05,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,1e-05,0,2,9.73913043478261,12.217391304347826,7.260869565217392,0.10067114093959731,0.25279642058165547,0.8674698795180723,0.13253012048192772,0.08185053380782918,0.9181494661921709,7.545454545454547,12.217391304347831
bd_return_downside_sharpe_vol_l1med_lam0p0001,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0001,0,2,9.333333333333334,11.75,6.916666666666667,0.10514541387024609,0.2595078299776286,0.8606060606060606,0.1393939393939394,0.0851063829787234,0.9148936170212766,7.173913043478261,11.749999999999998
bd_return_downside_sharpe_vol_l1med_lam0p001,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.001,0,2,9.73913043478261,12.26086956521739,7.217391304347826,0.10067114093959731,0.2505592841163311,0.8666666666666667,0.13333333333333333,0.08156028368794327,0.9184397163120568,7.500000000000002,12.260869565217398
bd_return_downside_sharpe_vol_l1med_lam0p00390625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.00390625,0,2,9.73913043478261,12.217391304347826,7.260869565217392,0.10067114093959731,0.2505592841163311,0.8674698795180723,0.13253012048192772,0.08185053380782918,0.9181494661921709,7.545454545454547,12.217391304347831
bd_return_downside_sharpe_vol_l1med_lam0p0078125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0078125,0,2,8.96,11.24,6.68,0.10961968680089486,0.2639821029082774,0.8554216867469879,0.14457831325301204,0.08896797153024912,0.9110320284697508,6.916666666666666,11.239999999999995
bd_return_downside_sharpe_vol_l1med_lam0p015625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.015625,0,2,9.333333333333334,11.791666666666666,6.875,0.10514541387024609,0.2595078299776286,0.8597560975609756,0.1402439024390244,0.08480565371024736,0.9151943462897526,7.130434782608695,11.79166666666666
bd_return_downside_sharpe_vol_l1med_lam0p03125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.03125,0,2,9.73913043478261,12.217391304347826,7.260869565217392,0.10067114093959731,0.2483221476510067,0.8674698795180723,0.13253012048192772,0.08185053380782918,0.9181494661921709,7.545454545454547,12.217391304347831
bd_return_downside_sharpe_vol_l1med_lam0p0625,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.0625,0,2,9.333333333333334,11.75,6.916666666666667,0.10514541387024609,0.25727069351230425,0.8606060606060606,0.1393939393939394,0.0851063829787234,0.9148936170212766,7.173913043478261,11.749999999999998
bd_return_downside_sharpe_vol_l1med_lam0p125,bond,return_downside_sharpe_vol,robust_l1_medoids_jump_model,0.125,0,2,8.96,11.28,6.64,0.10961968680089486,0.27069351230425054,0.8545454545454545,0.14545454545454545,0.08865248226950355,0.9113475177304965,6.874999999999997,11.280000000000005
